iter,nth,x,iter_converged,error,time_1,time_2,result
387,699,386,29,1.43051e-06,0.003,0.002709,1.00856
388,811,863,30,1.60374e-06,0.003,0.002789,1.00837
389,11,435,29,1.61305e-06,0.002,0.002901,1.73725
390,400,191,28,1.40816e-06,0.002,0.002628,1.01322
391,219,458,29,1.69873e-06,0.004,0.002802,1.02837
392,415,397,29,1.47149e-06,0.003,0.002797,1.01452
393,655,115,27,1.68383e-06,0.003,0.002586,1.00727
394,762,848,30,1.5758e-06,0.003,0.002805,1.00889
395,20,720,30,1.33738e-06,0.002,0.002877,1.38953
396,605,409,29,1.51619e-06,0.003,0.002779,1.00999
397,884,877,30,1.62981e-06,0.003,0.002799,1.0077
398,8,419,29,1.55345e-06,0.002,0.00291,2.12705
399,783,19,25,1.01328e-06,0.003,0.002538,1.00377
400,287,993,30,1.84588e-06,0.004,0.002811,1.02434
401,736,178,28,1.3113e-06,0.002,0.002615,1.00707
402,702,477,29,1.76951e-06,0.002,0.002837,1.00882
403,82,826,30,1.53482e-06,0.004,0.002891,1.08536
404,284,381,29,1.41189e-06,0.002,0.002738,1.02115
405,566,544,30,1.00955e-06,0.003,0.00275,1.01119
406,589,782,30,1.45286e-06,0.003,0.002759,1.01138
407,572,213,28,1.57207e-06,0.002,0.002631,1.00942
408,348,4,21,1.90735e-06,0.003,0.002426,1.00399
409,854,439,29,1.62795e-06,0.003,0.002698,1.00715
410,983,835,30,1.55158e-06,0.002,0.00277,1.00687
411,162,844,30,1.56835e-06,0.002,0.002991,1.04247
412,513,323,29,1.19582e-06,0.003,0.002733,1.01133
413,937,154,28,1.13249e-06,0.002,0.002652,1.00539
414,19,42,26,1.19209e-06,0.003,0.002737,1.2174
415,720,409,29,1.51619e-06,0.004,0.002801,1.00839
416,379,777,30,1.44355e-06,0.003,0.002698,1.01772
417,369,551,30,1.02259e-06,0.002,0.002792,1.01725
418,287,850,30,1.57952e-06,0.003,0.002793,1.02378
419,712,914,30,1.69873e-06,0.002,0.002812,1.00962
420,265,25,25,1.37091e-06,0.003,0.002681,1.01222
421,917,538,29,1.99676e-06,0.003,0.002765,1.00688
422,184,496,29,1.84029e-06,0.004,0.002822,1.03431
423,467,17,24,1.78814e-06,0.003,0.002476,1.00609
424,87,260,28,1.92225e-06,0.002,0.002741,1.066
425,629,983,30,1.82725e-06,0.003,0.002696,1.01102
426,184,521,29,1.93343e-06,0.002,0.0028,1.03458
427,662,875,30,1.62609e-06,0.003,0.002728,1.01029
428,130,363,29,1.34483e-06,0.004,0.002709,1.04639
429,30,958,30,1.78069e-06,0.003,0.002923,1.25713
430,924,869,30,1.61491e-06,0.003,0.002684,1.00735
431,160,405,29,1.50129e-06,0.004,0.002718,1.03824
432,973,882,30,1.63913e-06,0.003,0.002637,1.00699
433,713,960,30,1.78441e-06,0.002,0.002738,1.00968
434,842,337,29,1.24797e-06,0.003,0.00276,1.00694
435,66,158,28,1.16229e-06,0.002,0.002716,1.07972
436,365,105,27,1.53482e-06,0.002,0.002639,1.01283
437,717,140,28,1.02818e-06,0.004,0.002724,1.00692
